wavelength,flux,error,strip,errrms,errsys,errcal
19.482286,0.176658,0.008303,5,0.006184,0.002118,0.001878
19.503519,0.182792,0.007513,5,0.005395,0.002118,0.001703
19.573977,0.177105,0.005951,5,0.005951,0.0,0.001704
19.595219,0.173363,0.006254,5,0.006254,0.0,0.001581
19.686916,0.174014,0.005582,5,0.005582,0.0,0.001691
19.757357,0.164585,0.006885,5,0.006885,0.0,0.0017
19.778614,0.172954,0.006133,5,0.006133,0.0,0.00182
19.828897,0.171245,0.013352,6,0.005059,0.008293,0.002188
19.849047,0.170733,0.006165,5,0.006165,0.0,0.001857
19.870314,0.164064,0.006513,5,0.006513,0.0,0.001747
19.871662,0.168673,0.012812,6,0.004519,0.008293,0.001876
19.940739,0.164107,0.009575,5,0.006402,0.003173,0.001761
19.962011,0.165818,0.010013,5,0.00684,0.003173,0.001818
20.012285,0.169472,0.01437,6,0.005574,0.008796,0.00225
20.032429,0.168347,0.010587,5,0.007413,0.003173,0.001752
20.053711,0.169112,0.01008,5,0.006907,0.003173,0.001916
20.055031,0.169638,0.013619,6,0.004822,0.008796,0.001843
20.124119,0.167679,0.006552,5,0.006552,0.0,0.001681
20.145409,0.167813,0.006501,5,0.006501,0.0,0.001877
20.195675,0.163222,0.007348,6,0.004183,0.003165,0.002108
20.215809,0.167159,0.007339,5,0.007339,0.0,0.001736
20.2384,0.162128,0.007028,6,0.003863,0.003165,0.001534
20.328808,0.159537,0.007584,5,0.007584,0.0,0.001515
20.379063,0.16148,0.004647,6,0.003982,6.65E-4,0.001914
20.399189,0.166963,0.006953,5,0.006953,0.0,0.001841
20.420507,0.166772,0.008198,5,0.008198,0.0,0.001653
